dataset,extradata,global_rank,metric_name,metric_value,model,remove,task,paper_title,paper_path,paper_url
IC15,,# 10,F-Measure,75.61%,SegLink,-,Scene Text Detection,Detecting Oriented Text in Natural Images by Linking Segments,/paper/detecting-oriented-text-in-natural-images-by,https://arxiv.org/pdf/1703.06520v3.pdf
SCUT-CTW1500,,# 5,F-Measure,40.8%,SegLink,-,Curved Text Detection,Detecting Oriented Text in Natural Images by Linking Segments,/paper/detecting-oriented-text-in-natural-images-by,https://arxiv.org/pdf/1703.06520v3.pdf
SNLI,,# 36,% Test Accuracy,84.6,300D NSE encoders,-,Natural Language Inference,Neural Semantic Encoders,/paper/neural-semantic-encoders,https://arxiv.org/pdf/1607.04315v3.pdf
SNLI,,# 44,% Train Accuracy,86.2,300D NSE encoders,-,Natural Language Inference,Neural Semantic Encoders,/paper/neural-semantic-encoders,https://arxiv.org/pdf/1607.04315v3.pdf
SNLI,,# 1,Parameters,3.0m,300D NSE encoders,-,Natural Language Inference,Neural Semantic Encoders,/paper/neural-semantic-encoders,https://arxiv.org/pdf/1607.04315v3.pdf
SNLI,,# 33,% Test Accuracy,85.4,300D MMA-NSE encoders with attention,-,Natural Language Inference,Neural Semantic Encoders,/paper/neural-semantic-encoders,https://arxiv.org/pdf/1607.04315v3.pdf
SNLI,,# 41,% Train Accuracy,86.9,300D MMA-NSE encoders with attention,-,Natural Language Inference,Neural Semantic Encoders,/paper/neural-semantic-encoders,https://arxiv.org/pdf/1607.04315v3.pdf
SNLI,,# 1,Parameters,3.2m,300D MMA-NSE encoders with attention,-,Natural Language Inference,Neural Semantic Encoders,/paper/neural-semantic-encoders,https://arxiv.org/pdf/1607.04315v3.pdf
SST-2 Binary classification,,# 10,Accuracy,89.7,Neural Semantic Encoder,-,Sentiment Analysis,Neural Semantic Encoders,/paper/neural-semantic-encoders,https://arxiv.org/pdf/1607.04315v3.pdf
WikiQA,,# 8,MAP,0.6811,MMA-NSE attention,-,Question Answering,Neural Semantic Encoders,/paper/neural-semantic-encoders,https://arxiv.org/pdf/1607.04315v3.pdf
WikiQA,,# 7,MRR,0.6993,MMA-NSE attention,-,Question Answering,Neural Semantic Encoders,/paper/neural-semantic-encoders,https://arxiv.org/pdf/1607.04315v3.pdf
WMT2014 English-German,,# 21,BLEU score,17.93,NSE-NSE,-,Machine Translation,Neural Semantic Encoders,/paper/neural-semantic-encoders,https://arxiv.org/pdf/1607.04315v3.pdf
VQA v2,,# 2,Accuracy,70.24%,Pythia v0.1,-,Visual Question Answering,Pythia v0.1: the Winning Entry to the VQA Challenge 2018,/paper/pythia-v01-the-winning-entry-to-the-vqa,https://arxiv.org/pdf/1807.09956v2.pdf
ImageNet 128x128,,# 3,FID,9.6,BigGAN,-,Conditional Image Generation,Large Scale GAN Training for High Fidelity Natural Image Synthesis,/paper/large-scale-gan-training-for-high-fidelity,https://arxiv.org/pdf/1809.11096v2.pdf
ImageNet 128x128,,# 2,Inception score,166.3,BigGAN,-,Conditional Image Generation,Large Scale GAN Training for High Fidelity Natural Image Synthesis,/paper/large-scale-gan-training-for-high-fidelity,https://arxiv.org/pdf/1809.11096v2.pdf
ImageNet 128x128,,# 1,FID,7.4,BigGAN-deep,-,Conditional Image Generation,Large Scale GAN Training for High Fidelity Natural Image Synthesis,/paper/large-scale-gan-training-for-high-fidelity,https://arxiv.org/pdf/1809.11096v2.pdf
ImageNet 128x128,,# 1,Inception score,166.5,BigGAN-deep,-,Conditional Image Generation,Large Scale GAN Training for High Fidelity Natural Image Synthesis,/paper/large-scale-gan-training-for-high-fidelity,https://arxiv.org/pdf/1809.11096v2.pdf
BUCC French-to-English,,# 2,F1 score,92.89,Multilingual Sentence Embeddings,-,Cross-Lingual Bitext Mining,Margin-based Parallel Corpus Mining with Multilingual Sentence Embeddings,/paper/margin-based-parallel-corpus-mining-with,https://arxiv.org/pdf/1811.01136v1.pdf
BUCC German-to-English,,# 2,F1 score,95.58,Multilingual Sentence Embeddings,-,Cross-Lingual Bitext Mining,Margin-based Parallel Corpus Mining with Multilingual Sentence Embeddings,/paper/margin-based-parallel-corpus-mining-with,https://arxiv.org/pdf/1811.01136v1.pdf
Mini-ImageNet - 1-Shot Learning,,# 5,Accuracy,50.13%,PLATIPUS,-,Few-Shot Image Classification,Probabilistic Model-Agnostic Meta-Learning,/paper/probabilistic-model-agnostic-meta-learning,https://arxiv.org/pdf/1806.02817v1.pdf
Multi-Domain Sentiment Dataset,,# 2,DVD,78.14,Multi-task tri-training,-,Sentiment Analysis,Strong Baselines for Neural Semi-supervised Learning under Domain Shift,/paper/strong-baselines-for-neural-semi-supervised,https://arxiv.org/pdf/1804.09530v1.pdf
Multi-Domain Sentiment Dataset,,# 2,Books,74.86,Multi-task tri-training,-,Sentiment Analysis,Strong Baselines for Neural Semi-supervised Learning under Domain Shift,/paper/strong-baselines-for-neural-semi-supervised,https://arxiv.org/pdf/1804.09530v1.pdf
Multi-Domain Sentiment Dataset,,# 1,Electronics,81.45,Multi-task tri-training,-,Sentiment Analysis,Strong Baselines for Neural Semi-supervised Learning under Domain Shift,/paper/strong-baselines-for-neural-semi-supervised,https://arxiv.org/pdf/1804.09530v1.pdf
Multi-Domain Sentiment Dataset,,# 4,Kitchen,82.14,Multi-task tri-training,-,Sentiment Analysis,Strong Baselines for Neural Semi-supervised Learning under Domain Shift,/paper/strong-baselines-for-neural-semi-supervised,https://arxiv.org/pdf/1804.09530v1.pdf
Multi-Domain Sentiment Dataset,,# 2,Average,79.15,Multi-task tri-training,-,Sentiment Analysis,Strong Baselines for Neural Semi-supervised Learning under Domain Shift,/paper/strong-baselines-for-neural-semi-supervised,https://arxiv.org/pdf/1804.09530v1.pdf
BSD100 - 4x upscaling,,# 1,PSNR,27.85,SRGAN + Residual-in-Residual Dense Block,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
BSD100 - 4x upscaling,,# 3,SSIM,0.7455,SRGAN + Residual-in-Residual Dense Block,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
Manga109 - 4x upscaling,,# 8,PSNR,24.89,bicubic,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
Manga109 - 4x upscaling,,# 9,SSIM,0.7866,bicubic,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
Manga109 - 4x upscaling,,# 1,PSNR,31.66,SRGAN + Residual-in-Residual Dense Block,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
Manga109 - 4x upscaling,,# 1,SSIM,0.9196,SRGAN + Residual-in-Residual Dense Block,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
Set14 - 4x upscaling,,# 1,PSNR,28.99,SRGAN + Residual-in-Residual Dense Block,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
Set14 - 4x upscaling,,# 4,SSIM,0.7917,SRGAN + Residual-in-Residual Dense Block,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
Set5 - 4x upscaling,,# 2,PSNR,32.73,SRGAN + Residual-in-Residual Dense Block,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
Set5 - 4x upscaling,,# 3,SSIM,0.9011,SRGAN + Residual-in-Residual Dense Block,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
Urban100 - 4x upscaling,,# 1,PSNR,27.03,SRGAN + Residual-in-Residual Dense Block,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
Urban100 - 4x upscaling,,# 1,SSIM,0.8153,SRGAN + Residual-in-Residual Dense Block,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
Urban100 - 4x upscaling,,# 23,PSNR,23.14,bicubic,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
Urban100 - 4x upscaling,,# 22,SSIM,0.6577,bicubic,-,Image Super-Resolution,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,/paper/esrgan-enhanced-super-resolution-generative,https://arxiv.org/pdf/1809.00219v2.pdf
CCGBank,,# 1,Accuracy,96.1,Clark et al.,-,CCG Supertagging,Semi-Supervised Sequence Modeling with Cross-View Training,/paper/semi-supervised-sequence-modeling-with-cross,https://arxiv.org/pdf/1809.08370v1.pdf
CoNLL 2003 (English),,# 4,F1,92.61,CVT + Multi-Task,-,Named Entity Recognition (NER),Semi-Supervised Sequence Modeling with Cross-View Training,/paper/semi-supervised-sequence-modeling-with-cross,https://arxiv.org/pdf/1809.08370v1.pdf
Ontonotes v5 (English),,# 2,F1,88.81,CVT + Multi-Task,-,Named Entity Recognition (NER),Semi-Supervised Sequence Modeling with Cross-View Training,/paper/semi-supervised-sequence-modeling-with-cross,https://arxiv.org/pdf/1809.08370v1.pdf
Penn Treebank,,# 4,POS,---,CVT + Multi-Task,-,Dependency Parsing,Semi-Supervised Sequence Modeling with Cross-View Training,/paper/semi-supervised-sequence-modeling-with-cross,https://arxiv.org/pdf/1809.08370v1.pdf
Penn Treebank,,# 1,UAS,96.61,CVT + Multi-Task,-,Dependency Parsing,Semi-Supervised Sequence Modeling with Cross-View Training,/paper/semi-supervised-sequence-modeling-with-cross,https://arxiv.org/pdf/1809.08370v1.pdf
Penn Treebank,,# 1,LAS,95.02,CVT + Multi-Task,-,Dependency Parsing,Semi-Supervised Sequence Modeling with Cross-View Training,/paper/semi-supervised-sequence-modeling-with-cross,https://arxiv.org/pdf/1809.08370v1.pdf
