paper_title,paper_url
Detecting Oriented Text in Natural Images by Linking Segments,https://arxiv.org/pdf/1703.06520v3.pdf
Neural Semantic Encoders,https://arxiv.org/pdf/1607.04315v3.pdf
Pythia v0.1: the Winning Entry to the VQA Challenge 2018,https://arxiv.org/pdf/1807.09956v2.pdf
Large Scale GAN Training for High Fidelity Natural Image Synthesis,https://arxiv.org/pdf/1809.11096v2.pdf
Margin-based Parallel Corpus Mining with Multilingual Sentence Embeddings,https://arxiv.org/pdf/1811.01136v1.pdf
Probabilistic Model-Agnostic Meta-Learning,https://arxiv.org/pdf/1806.02817v1.pdf
Strong Baselines for Neural Semi-supervised Learning under Domain Shift,https://arxiv.org/pdf/1804.09530v1.pdf
ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,https://arxiv.org/pdf/1809.00219v2.pdf
Semi-Supervised Sequence Modeling with Cross-View Training,https://arxiv.org/pdf/1809.08370v1.pdf
Mixing Context Granularities for Improved Entity Linking on Question Answering Data across Entity Categories,https://arxiv.org/pdf/1804.08460v1.pdf
Geometric Matrix Completion with Recurrent Multi-Graph Neural Networks,https://arxiv.org/pdf/1704.06803v1.pdf
AutoAugment: Learning Augmentation Policies from Data,https://arxiv.org/pdf/1805.09501v3.pdf
ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices,https://arxiv.org/pdf/1707.01083v2.pdf
Taking a Deeper Look at Pedestrians,https://arxiv.org/pdf/1501.05790v1.pdf
Linguistically-Informed Self-Attention for Semantic Role Labeling,https://arxiv.org/pdf/1804.08199v3.pdf
Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation,https://arxiv.org/pdf/1802.02611v3.pdf
Bridging Category-level and Instance-level Semantic Image Segmentation,https://arxiv.org/pdf/1605.06885v1.pdf
Self-Adaptive Hierarchical Sentence Model,https://arxiv.org/pdf/1504.05070v2.pdf
Glow: Generative Flow with Invertible 1x1 Convolutions,https://arxiv.org/pdf/1807.03039v2.pdf
Structured Training for Neural Network Transition-Based Parsing,https://arxiv.org/pdf/1506.06158v1.pdf
A Light CNN for Deep Face Representation with Noisy Labels,https://arxiv.org/pdf/1511.02683v4.pdf
Lightweight and Efficient Image Super-Resolution with Block State-based Recursive Network,https://arxiv.org/pdf/1811.12546v1.pdf
Recurrent Highway Networks,https://arxiv.org/pdf/1607.03474v5.pdf
Reasoning about Entailment with Neural Attention,https://arxiv.org/pdf/1509.06664v4.pdf
Compositional coding capsule network with k-means routing for text classification,https://arxiv.org/pdf/1810.09177v3.pdf
NPRF: A Neural Pseudo Relevance Feedback Framework for Ad-hoc Information Retrieval,https://arxiv.org/pdf/1810.12936v1.pdf
The Neural Hype and Comparisons Against Weak Baselines,https://sigir.org/wp-content/uploads/2019/01/p040.pdf
A large annotated corpus for learning natural language inference,https://arxiv.org/pdf/1508.05326v1.pdf
Aggregate channel features for multi-view face detection,https://arxiv.org/pdf/1407.4023v2.pdf
An All-In-One Convolutional Neural Network for Face Analysis,https://arxiv.org/pdf/1611.00851v1.pdf
Deep Graph Infomax,https://arxiv.org/pdf/1809.10341v2.pdf
"A Qualitative Comparison of CoQA, SQuAD 2.0 and QuAC",https://arxiv.org/pdf/1809.10735v1.pdf
Hierarchical Multiscale Recurrent Neural Networks,https://arxiv.org/pdf/1609.01704v7.pdf
Understanding Convolution for Semantic Segmentation,https://arxiv.org/pdf/1702.08502v3.pdf
Learning Complexity-Aware Cascades for Deep Pedestrian Detection,https://arxiv.org/pdf/1507.05348v1.pdf
Noise reduction and targeted exploration in imitation learning for Abstract Meaning Representation parsing,https://aclweb.org/anthology/P16-1001
Text Classification Improved by Integrating Bidirectional LSTM with Two-dimensional Max Pooling,https://arxiv.org/pdf/1611.06639v1.pdf
Incentivizing Exploration In Reinforcement Learning With Deep Predictive Models,https://arxiv.org/pdf/1507.00814v3.pdf
Deep High-Resolution Representation Learning for Human Pose Estimation,https://arxiv.org/pdf/1902.09212v1.pdf
Local Decorrelation For Improved Pedestrian Detection,https://papers.nips.cc/paper/5419-local-decorrelation-for-improved-pedestrian-detection.pdf
SeqGAN: Sequence Generative Adversarial Nets with Policy Gradient,https://arxiv.org/pdf/1609.05473v6.pdf
SiamRPN++: Evolution of Siamese Visual Tracking with Very Deep Networks,https://arxiv.org/pdf/1812.11703v1.pdf
DeepFlux for Skeletons in the Wild,https://arxiv.org/pdf/1811.12608v1.pdf
Part-based R-CNNs for Fine-grained Category Detection,https://arxiv.org/pdf/1407.3867v1.pdf
Training Region-based Object Detectors with Online Hard Example Mining,https://arxiv.org/pdf/1604.03540v1.pdf
Gated Orthogonal Recurrent Units: On Learning to Forget,https://arxiv.org/pdf/1706.02761v3.pdf
Baseline Needs More Love: On Simple Word-Embedding-Based Models and Associated Pooling Mechanisms,https://arxiv.org/pdf/1805.09843v1.pdf
BB_twtr at SemEval-2017 Task 4: Twitter Sentiment Analysis with CNNs and LSTMs,https://arxiv.org/pdf/1704.06125v1.pdf
Dense Face Alignment,https://arxiv.org/pdf/1709.01442v1.pdf
Quasi-Recurrent Neural Networks,https://arxiv.org/pdf/1611.01576v2.pdf
Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation,https://arxiv.org/pdf/1406.1078v3.pdf
Learning to Make Predictions on Graphs with Autoencoders,https://arxiv.org/pdf/1802.08352v2.pdf
Multi-Person Pose Estimation with Local Joint-to-Person Associations,https://arxiv.org/pdf/1608.08526v2.pdf
Neural Aggregation Network for Video Face Recognition,https://arxiv.org/pdf/1603.05474v4.pdf
Classical Structured Prediction Losses for Sequence to Sequence Learning,https://arxiv.org/pdf/1711.04956v5.pdf
Finding a Needle in the Haystack: Attention-Based Classification of High Resolution Microscopy Images,https://arxiv.org/pdf/1811.08513v1.pdf
Unifying Count-Based Exploration and Intrinsic Motivation,https://arxiv.org/pdf/1606.01868v2.pdf
Convolutional Sequence Modeling Revisited,https://openreview.net/pdf?id=rk8wKk-R-
Achieving Human Parity in Conversational Speech Recognition,https://arxiv.org/pdf/1610.05256v2.pdf
NCRF++: An Open-source Neural Sequence Labeling Toolkit,https://arxiv.org/pdf/1806.05626v2.pdf
Parameterized Convolutional Neural Networks for Aspect Level Sentiment Classification,https://aclweb.org/anthology/D18-1136
What Do Recurrent Neural Network Grammars Learn About Syntax?,https://arxiv.org/pdf/1611.05774v2.pdf
A General Pipeline for 3D Detection of Vehicles,https://arxiv.org/pdf/1803.00387v1.pdf
Squeeze-and-Excitation Networks,https://arxiv.org/pdf/1709.01507v3.pdf
A-Fast-RCNN: Hard Positive Generation via Adversary for Object Detection,https://arxiv.org/pdf/1704.03414v1.pdf
Coupled Generative Adversarial Networks,https://arxiv.org/pdf/1606.07536v2.pdf
Gradient Harmonized Single-stage Detector,https://arxiv.org/pdf/1811.05181v1.pdf
Structure-Infused Copy Mechanisms for Abstractive Summarization,https://aclweb.org/anthology/C18-1146
Multilingual Part-of-Speech Tagging with Bidirectional Long Short-Term Memory Models and Auxiliary Loss,https://arxiv.org/pdf/1604.05529v3.pdf
Weakly Supervised Cascaded Convolutional Networks,https://arxiv.org/pdf/1611.08258v1.pdf
Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks,https://arxiv.org/pdf/1511.06434v2.pdf
Densely Connected Convolutional Networks,https://arxiv.org/pdf/1608.06993v5.pdf
FCOS: Fully Convolutional One-Stage Object Detection,https://arxiv.org/pdf/1904.01355v3.pdf
U-Net: Convolutional Networks for Biomedical Image Segmentation,https://arxiv.org/pdf/1505.04597v1.pdf
